,Name,Number,Alt Number,HP,Attack,SpAttack,Defense,SpDefense,Speed,Legendary,Mythical,Pseudolegendary,Fully Evolved,Has Temporary Form,Type1,Type2,Normal,Fire,Water,Electric,Grass,Ice,Fighting,Poison,Ground,Flying,Psychic,Bug,Rock,Ghost,Dragon,Dark,Steel,Fairy
0,Bulbasaur,1,,45,49,65,49,65,45,0,0,0,0,0,Grass,Poison,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
1,Ivysaur,2,,60,62,80,63,80,60,0,0,0,0,0,Grass,Poison,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
2,Venusaur,3,,80,82,100,83,100,80,0,0,0,1,0,Grass,Poison,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
3,Charmander,4,,39,52,60,43,50,65,0,0,0,0,0,Fire,-,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
4,Charmeleon,5,,58,64,80,58,65,80,0,0,0,0,0,Fire,-,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
5,Charizard,6,,78,84,109,78,85,100,0,0,0,1,0,Fire,Flying,1.0,0.5,2.0,2.0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,0.5
6,Squirtle,7,,44,48,50,65,64,43,0,0,0,0,0,Water,-,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
7,Wartortle,8,,59,63,65,80,80,58,0,0,0,0,0,Water,-,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
8,Blastoise,9,,79,83,85,100,105,78,0,0,0,1,0,Water,-,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
11,Butterfree,12,,60,45,90,50,80,70,0,0,0,1,0,Bug,Flying,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0
